Net Metrekare,Brüt Metrekare,Oda Sayısı,Bulunduğu Kat,Eşya Durumu,Binanın Yaşı,Isıtma Tipi,Fiyat,Şehir,Binanın Kat Sayısı,Kullanım Durumu,Fiyat Durumu,Yatırıma Uygunluk,İlan Güncelleme Tarihi,Site İçerisinde,Takas,İlan Oluşturma Tarihi,Türü,Kullanım Durumu,Kategorisi,Krediye Uygunluk,Tapu Durumu,İpotek Durumu,Aidat,İlan Numarası,Banyo Sayısı
195 M2,200 M2,4+1,,,5-10,Sobalı,4.100.000,adana,2,Kiracı Oturuyor,Genel Fiyat ,Bilinmiyor,05 Ocak 2024,Hayır,Var,,Konut,Kiracı Oturuyor,Satılık,KREDIYE UYGUN,,,,14498700,1
110 M2,130 M2,3+1,17.Kat,Boş,3,Kombi Doğalgaz,3.800.000,adana,19,Mülk Sahibi Oturuyor,Genel Fiyat,Yatırıma Uygun,17 Ocak 2024,Evet,Var,,Konut,Mülk Sahibi Oturuyor,Satılık,Bilinmiyor,Kat İrtifakı,,,14497253,2
130 M2,140 M2,3+1,4.Kat,,5-10,Kombi Doğalgaz,2.300.000,adana,4,Mülk Sahibi Oturuyor,Genel Fiyat,,04 Ocak 2024,Hayır,,,Konut,Mülk Sahibi Oturuyor,Satılık,Krediye Uygun,,,,14492190,2 
70 M2,80 M2,2+1,2.Kat,,16-20,Klimalı,1.185.000,adana,12,Boş,Genel Fiyat,Yatırıma Uygun,04 Ocak 2024,Hayır,,,Konut,Boş,Satılık,Krediye Uygun,,Yok,,14491533,1 
200 M2,250 M2,5+1,9.Kat,Boş,0 (Yeni),Kombi Doğalgaz,5.498.000,adana,15,Boş,Genel Fiyat,,16 Ocak 2024,Hayır,,,Konut,Boş,Satılık,Krediye Uygun,,,,14487955,2
110 M2,160 M2,3+1,5.Kat,,21 Ve Üzeri,Klimalı,1.995.000,adana,7,Boş,Genel Fiyat ,Bilinmiyor,18 Ocak 2024,Hayır,Yok,,Konut,Boş,Satılık,Krediye Uygun,,,100 TL,14482575,1
80 M2,90 M2,2+1,Yüksek Giriş,Boş,2,Klimalı,1.295.000,adana,10,Boş,Genel Fiyat ,Bilinmiyor,16 Ocak 2024,Hayır,Yok,,Konut,Boş,Satılık,Krediye Uygun,,,,14474950,1
200 M2,280 M2,5+1,,Boş,16-20,Kombi Doğalgaz,6.250.000,adana,3,Boş,Birim Fiyat ,Yatırıma Uygun,18 Ocak 2024,Hayır,,,Konut,Boş,Satılık,KREDIYE UYGUN,Kat Mülkiyeti,,,14469224,3
110 M2,125 M2,3+1,4.Kat,,4,Klimalı,1.600.000,adana,11,Boş,Genel Fiyat,,25 Aralık 2023,Hayır,,,Konut,Boş,Satılık,Bilinmiyor,,,,14447787,2 
280 M2,300 M2,5+1,16.Kat,,4,Merkezi (Pay Ölçer),13.000.000,adana,20,Boş,Genel Fiyat,Bilinmiyor,15 Ocak 2024,Evet,Yok,,Konut,Boş,Satılık,Krediye Uygun,,,,14447194,2 
115 M2,130 M2,2+1,1.Kat,Boş,5-10,Klimalı,2.250.000,adana,5,Boş,Genel Fiyat,Yatırıma Uygun,08 Ocak 2024,Hayır,Yok,,Konut,Boş,Satılık,Krediye Uygun,Kat Mülkiyeti,Yok,100 TL,14406585,1
105 M2,160 M2,3+1,7.Kat,Boş,4,Kombi Doğalgaz,1.850.000,adana,13,Boş,Genel Fiyat,Yatırıma Uygun,18 Ocak 2024,Hayır,Yok,,Konut,Boş,Satılık,Krediye Uygun,Kat Mülkiyeti,Yok,,14347143,2
110 M2,130 M2,3+1,11.Kat,Boş,4,Kombi Doğalgaz,1.650.000,adana,13,Kiracı Oturuyor,Genel Fiyat,Bilinmiyor,16 Ocak 2024,Hayır,Yok,,Konut,Kiracı Oturuyor,Satılık,Krediye Uygun,Kat İrtifakı,,,14325699,2 
85 M2,90 M2,3+1,2.Kat,,21 Ve Üzeri,Klimalı,1.665.000arrow_downward%90,adana,12,Boş,Genel Fiyat,Yatırıma Uygun,09 Ocak 2024,Hayır,Yok,,Konut,Boş,Satılık,Krediye Uygun,Kat Mülkiyeti,Yok,,14225594,1 
130 M2,140 M2,2+1,,Boş,16-20,Klimalı,1.800.000,adana,1,Boş,Genel Fiyat,Yatırıma Uygun,18 Ocak 2024,Hayır,Yok,,Konut,Boş,Satılık,KREDIYE UYGUN,Kat Mülkiyeti,Yok,0 TL,14219107,1
95 M2,125 M2,2+1,5.Kat,Boş,3,Klimalı,1.340.000,adana,5,Boş,Genel Fiyat,Bilinmiyor,08 Ocak 2024,Hayır,Yok,,Konut,Boş,Satılık,Krediye Uygun,Kat İrtifakı,,,14127956,2 
150 M2,250 M2,3+1,,Boş,4,Kombi Doğalgaz,9.750.000arrow_downward%2,adana,3,Mülk Sahibi Oturuyor,Genel Fiyat,Yatırıma Uygun,18 Ocak 2024,Hayır,Var,,Konut,Mülk Sahibi Oturuyor,Satılık,KREDIYE UYGUN,Kat Mülkiyeti,Yok,,14102440,2
147 M2,150 M2,3+1,1.Kat,Boş,4,Klimalı,2.500.000,adana,5,Boş,Genel Fiyat,Yatırıma Uygun,17 Ocak 2024,Hayır,Yok,,Konut,Boş,Satılık,Krediye Uygun,Kat Mülkiyeti,Yok,50 TL,14070397,2
80 M2,110 M2,2+1,3.Kat,Boş,4,Klimalı,1.180.000,adana,12,Boş,Genel Fiyat,Bilinmiyor,16 Ocak 2024,Hayır,Yok,,Konut,Boş,Satılık,Krediye Uygun,Kat İrtifakı,,,14029953,2 
140 M2,150 M2,3+1,1.Kat,Boş,0 (Yeni),Klimalı,2.500.000,adana,5,Boş,Genel Fiyat,Yatırıma Uygun,18 Ocak 2024,Hayır,Yok,,Konut,Boş,Satılık,Krediye Uygun,Kat Mülkiyeti,Yok,50 TL,13992453,3
145 M2,150 M2,3+1,4.Kat,Boş,5-10,Klimalı,2.500.000,adana,5,Boş,Genel Fiyat,,18 Ocak 2024,Hayır,Yok,,Konut,Boş,Satılık,Krediye Uygun,Kat Mülkiyeti,Yok,50 TL,13972913,1
110 M2,120 M2,2+1,Müstakil,Eşyalı,21 Ve Üzeri,Klimalı,2.200.000,adana,2,Boş,Genel Fiyat,Yatırıma Uygun,17 Ocak 2024,Hayır,Yok,,Konut,Boş,Satılık,Krediye Uygun,Kat Mülkiyeti,Yok,,13527758,2
130 M2,140 M2,2+1,1.Kat,Boş,5-10,Klimalı,2.500.000,adana,6,Boş,Genel Fiyat ,Yatırıma Uygun,17 Ocak 2024,Hayır,Yok,,Konut,Boş,Satılık,Krediye Uygun,Kat Mülkiyeti,Yok,50 TL,12475906,1
100 M2,120 M2,2+1,2.Kat,,0 (Yeni),Kombi Doğalgaz,2.390.000,adana,5,Boş,Genel Fiyat,,22 Ocak 2024,Hayır,,,Konut,Boş,Satılık,Krediye Uygun,,,,14591619,1
45 M2,100 M2,1+1,Bahçe Katı,Boş,0 (Yeni),Klimalı,1.500.000,adana,2,Boş,Genel Fiyat,Bilinmiyor,22 Ocak 2024,Hayır,Var,,Konut,Boş,Satılık,Krediye Uygun,Müstakil Tapulu,,,14591558,1 
85 M2,125 M2,2+1,4.Kat,Boş,4,Klimalı,1.760.000,adana,10,Boş,Birim Fiyat ,Yatırıma Uygun,22 Ocak 2024,Hayır,Var,,Konut,Boş,Satılık,Krediye Uygun,Kat Mülkiyeti,Yok,200 TL,14591018,2
100 M2,110 M2,2+1,,,21 Ve Üzeri,Isıtma Yok,2.900.000,adana,2,Kiracı Oturuyor,Genel Fiyat,,22 Ocak 2024,Hayır,,,Konut,Kiracı Oturuyor,Satılık,Bilinmiyor,,,,14590452,1
100 M2,120 M2,2+1,6.Kat,Boş,0 (Yeni),Klimalı,2.485.000,adana,10,Boş,Genel Fiyat ,Yatırıma Uygun,22 Ocak 2024,Hayır,Yok,,Konut,Boş,Satılık,Krediye Uygun,Kat Mülkiyeti,,,14590266,1
80 M2,90 M2,2+1,1.Kat,Boş,0 (Yeni),Isıtma Yok,2.450.000,adana,8,Boş,Genel Fiyat,,22 Ocak 2024,Hayır,Yok,,Konut,Boş,Satılık,Krediye Uygun,Kat Mülkiyeti,,,14590115,1
147 M2,170 M2,3+1,7.Kat,Boş,11-15,Kombi Doğalgaz,2.370.000,adana,11,Kiracı Oturuyor,Genel Fiyat,Yatırıma Uygun,22 Ocak 2024,Evet,Yok,,Konut,Kiracı Oturuyor,Satılık,Krediye Uygun,Kat Mülkiyeti,Yok,350 TL,14590090,1
45 M2,50 M2,1+1,6.Kat,,4,Klimalı,1.100.000,adana,13,Boş,Genel Fiyat,,22 Ocak 2024,Hayır,,,Konut,Boş,Satılık,Krediye Uygun,,,,14589991,1 
80 M2,90 M2,2+1,1.Kat,Eşyalı,4,Doğalgaz Sobalı,1.650.000,adana,13,Mülk Sahibi Oturuyor,Genel Fiyat,Yatırıma Uygun,22 Ocak 2024,Evet,Yok,,Konut,Mülk Sahibi Oturuyor,Satılık,Krediye Uygun,Kat Mülkiyeti,Yok,150 TL,14589136,1
175 M2,230 M2,4+1,10.Kat,Boş,16-20,Kombi Doğalgaz,5.998.000,adana,12,Mülk Sahibi Oturuyor,Genel Fiyat ,,22 Ocak 2024,Evet,Yok,,Konut,Mülk Sahibi Oturuyor,Satılık,Krediye Uygun,Kat Mülkiyeti,,,14589023,2
200 M2,240 M2,4+1,10.Kat,,11-15,Kombi Doğalgaz,5.998.000,adana,12,Mülk Sahibi Oturuyor,Genel Fiyat ,Yatırıma Uygun,22 Ocak 2024,Evet,,,Konut,Mülk Sahibi Oturuyor,Satılık,Krediye Uygun,Kat Mülkiyeti,,,14588936,2
120 M2,150 M2,3+1,1.Kat,,21 Ve Üzeri,Klimalı,3.000.000,adana,5,Kiracı Oturuyor,Genel Fiyat ,,22 Ocak 2024,Hayır,,,Konut,Kiracı Oturuyor,Satılık,Bilinmiyor,Kat Mülkiyeti,,100 TL,14588916,1
149 M2,200 M2,4+1,10.Kat,Boş,0 (Yeni),Yerden Isıtma,6.900.000,adana,14,Boş,Genel Fiyat ,Yatırıma Uygun,22 Ocak 2024,Hayır,,,Konut,Boş,Satılık,Krediye Uygun,,,,14588756,2
78 M2,100 M2,2+1,9.Kat,Boş,0 (Yeni),Kombi Doğalgaz,1.500.000,adana,9,Boş,Genel Fiyat,Yatırıma Uygun,22 Ocak 2024,Hayır,Var,,Konut,Boş,Satılık,Krediye Uygun,Kat Mülkiyeti,Var,,14588668,1
76 M2,100 M2,2+1,1.Kat,,0 (Yeni),Kombi Doğalgaz,1.350.000,adana,9,Boş,Genel Fiyat,Yatırıma Uygun,22 Ocak 2024,Hayır,Var,,Konut,Boş,Satılık,Krediye Uygun,Kat İrtifakı,Var,,14588661,1
76 M2,100 M2,2+1,2.Kat,,0 (Yeni),Kombi Doğalgaz,1.700.000,adana,9,Boş,Genel Fiyat,Yatırıma Uygun,22 Ocak 2024,Hayır,Var,,Konut,Boş,Satılık,Krediye Uygun,Kat İrtifakı,Var,,14588652,1
160 M2,210 M2,4+1,1.Kat,Boş,0 (Yeni),Kombi Doğalgaz,4.100.000,adana,9,Boş,Genel Fiyat,Yatırıma Uygun,22 Ocak 2024,Evet,,,Konut,Boş,Satılık,Krediye Uygun,Kat Mülkiyeti,,,14588584,2
125 M2,165 M2,2+1,Müstakil,Boş,0 (Yeni),Isıtma Yok,2.400.000,adana,1,Boş,Birim Fiyat,,22 Ocak 2024,Hayır,,,Konut,Boş,Satılık,Bilinmiyor,,,,14588573,1
40 M2,45 M2,1+1,12.Kat,,3,Kombi Doğalgaz,885.000,adana,13,Kiracı Oturuyor,Genel Fiyat,Yatırıma Uygun,22 Ocak 2024,Hayır,,,Konut,Kiracı Oturuyor,Satılık,Krediye Uygun,Kat İrtifakı,,,14588184,1 
50 M2,60 M2,1+1,5.Kat,Eşyalı,4,Klimalı,1.550.000,adana,13,Boş,Genel Fiyat ,,22 Ocak 2024,Hayır,,,Konut,Boş,Satılık,Krediye Uygun,,,,14588174,1
160 M2,220 M2,3+1,4.Kat,Boş,21 Ve Üzeri,Klimalı,3.200.000,adana,8,Kiracı Oturuyor,Genel Fiyat,Yatırıma Uygun,22 Ocak 2024,Hayır,,,Konut,Kiracı Oturuyor,Satılık,Krediye Uygun,,,,14587443,1
100 M2,120 M2,2+1,,Boş,21 Ve Üzeri,Klimalı,3.350.000,adana,3,Boş,Genel Fiyat ,Bilinmiyor,22 Ocak 2024,Hayır,Yok,,Konut,Boş,Satılık,Krediye Uygun Değil,Bilinmiyor,,,14586792,1
85 M2,120 M2,2+1,2.Kat,Boş,5-10,Klimalı,2.575.000,adana,8,Boş,Genel Fiyat ,Bilinmiyor,22 Ocak 2024,Hayır,Yok,,Konut,Boş,Satılık,Krediye Uygun,,,,14586791,2
80 M2,88 M2,2+1,5.Kat,Boş,11-15,Isıtma Yok,1.500.000,adana,6,Boş,Genel Fiyat ,Bilinmiyor,22 Ocak 2024,Evet,Yok,,Konut,Boş,Satılık,Krediye Uygun,,,,14586551,1
345 M2,360 M2,8+3,,Boş,5-10,Kombi Doğalgaz,12.250.000,adana,3,Boş,Genel Fiyat ,Bilinmiyor,22 Ocak 2024,Hayır,Var,,Konut,Boş,Satılık,KREDIYE UYGUN,Kat İrtifakı,,,14586550,3
85 M2,125 M2,4+1,7.Kat,,1,Klimalı,2.300.000,adana,14,Boş,Genel Fiyat ,Bilinmiyor,22 Ocak 2024,Hayır,Yok,,Konut,Boş,Satılık,Krediye Uygun,Bilinmiyor,,,14586480,2
170 M2,240 M2,4+1,11.Kat,,5-10,Kombi Doğalgaz,4.620.000,adana,12,Mülk Sahibi Oturuyor,Genel Fiyat,Bilinmiyor,22 Ocak 2024,Hayır,Yok,,Konut,Mülk Sahibi Oturuyor,Satılık,Krediye Uygun,,,,14586420,2 
150 M2,175 M2,3+1,Yüksek Giriş,,11-15,Kombi Doğalgaz,2.400.000,adana,9,Kiracı Oturuyor,Genel Fiyat ,Yatırıma Uygun,21 Ocak 2024,Hayır,,,Konut,Kiracı Oturuyor,Satılık,Krediye Uygun,,,,14585914,1
93 M2,110 M2,2+1,2.Kat,Boş,0 (Yeni),Kombi Doğalgaz,1.400.000,adana,5,Boş,Genel Fiyat,,21 Ocak 2024,Hayır,Yok,,Konut,Boş,Satılık,Krediye Uygun,,,400 TL,14585734,1
90 M2,110 M2,2+1,15.Kat,Boş,5-10,Kombi Doğalgaz,1.170.000,adana,15,Boş,Genel Fiyat ,Bilinmiyor,21 Ocak 2024,Hayır,Yok,,Konut,Boş,Satılık,Krediye Uygun,,,,14585672,1
125 M2,145 M2,3+1,5.Kat,,1,Kombi Doğalgaz,2.100.000,adana,8,Boş,Genel Fiyat,,21 Ocak 2024,Evet,,,Konut,Boş,Satılık,Krediye Uygun,,,,14584725,2 
90 M2,95 M2,2+1,Düz Giriş (Zemin),,5-10,Isıtma Yok,1.200.000,adana,15,Boş,Genel Fiyat ,,21 Ocak 2024,Hayır,Yok,,Konut,Boş,Satılık,Krediye Uygun,Kat Mülkiyeti,,,14584719,2
65 M2,85 M2,2+1,5.Kat,Boş,5-10,Klimalı,1.070.000,adana,5,Kiracı Oturuyor,Genel Fiyat ,Bilinmiyor,21 Ocak 2024,Evet,Var,,Konut,Kiracı Oturuyor,Satılık,Krediye Uygun Değil,,,,14584094,1
40 M2,75 M2,1+1,1.Kat,Eşyalı,0 (Yeni),Klimalı,1.100.000,adana,10,Boş,Genel Fiyat ,Bilinmiyor,21 Ocak 2024,Hayır,Var,,Konut,Boş,Satılık,Krediye Uygun,Kat İrtifakı,,250 TL,14583331,1
240 M2,250 M2,4+1,6.Kat,Boş,16-20,Kombi Doğalgaz,3.750.000,adana,12,Boş,Genel Fiyat ,Bilinmiyor,21 Ocak 2024,Hayır,Var,,Konut,Boş,Satılık,Krediye Uygun,,,,14583325,2
120 M2,170 M2,3+1,7.Kat,,5-10,Kombi Doğalgaz,2.930.000,adana,12,Boş,Birim Fiyat ,,20 Ocak 2024,Hayır,Yok,,Konut,Boş,Satılık,Krediye Uygun,,,,14582211,2
50 M2,60 M2,1+1,14.Kat,,0 (Yeni),Klimalı,975.000,adana,14,Boş,Genel Fiyat,Yatırıma Uygun,20 Ocak 2024,Evet,,,Konut,Boş,Satılık,Krediye Uygun,,,,14580967,1
125 M2,150 M2,3+2,3.Kat,Boş,21 Ve Üzeri,Isıtma Yok,2.000.000,adana,3,Boş,Genel Fiyat ,Bilinmiyor,20 Ocak 2024,Hayır,Yok,,Konut,Boş,Satılık,Krediye Uygun Değil,,,,14580944,1
110 M2,120 M2,3+1,6.Kat,Boş,11-15,Kombi Doğalgaz,2.300.000,adana,10,Kiracı Oturuyor,Genel Fiyat ,Yatırıma Uygun,20 Ocak 2024,Evet,Yok,,Konut,Kiracı Oturuyor,Satılık,Krediye Uygun,Kat Mülkiyeti,Yok,400 TL,14580246,1
165 M2,180 M2,3+1,9.Kat,,11-15,Klimalı,2.650.000,adana,9,Boş,Genel Fiyat,Yatırıma Uygun,20 Ocak 2024,Hayır,Yok,,Konut,Boş,Satılık,Krediye Uygun,Kat Mülkiyeti,Yok,,14580236,1
135 M2,160 M2,3+1,8.Kat,,21 Ve Üzeri,Kombi Doğalgaz,2.600.000,adana,13,Mülk Sahibi Oturuyor,Genel Fiyat ,Bilinmiyor,20 Ocak 2024,Hayır,Yok,,Konut,Mülk Sahibi Oturuyor,Satılık,Krediye Uygun,,,200 TL,14579950,1
120 M2,140 M2,3+1,Yüksek Giriş,Boş,0 (Yeni),Kombi Doğalgaz,1.920.000,adana,5,Boş,Genel Fiyat,Bilinmiyor,22 Ocak 2024,Evet,Yok,,Konut,Boş,Satılık,Krediye Uygun,Kat İrtifakı,,,14579870,2 
105 M2,120 M2,2+1,6.Kat,,0 (Yeni),Kombi Doğalgaz,2.465.000,adana,14,Boş,Genel Fiyat,,20 Ocak 2024,Hayır,,,Konut,Boş,Satılık,Krediye Uygun,,,,14579841,2
230 M2,250 M2,4+1,4.Kat,,5-10,Kombi Doğalgaz,6.750.000,adana,16,Boş,Genel Fiyat,,20 Ocak 2024,Evet,Yok,,Konut,Boş,Satılık,Bilinmiyor,Kat Mülkiyeti,,,14579393,2
130 M2,165 M2,3+1,14.Kat,Boş,1,Kombi Doğalgaz,2.850.000,adana,15,Kiracı Oturuyor,Genel Fiyat ,Yatırıma Uygun,20 Ocak 2024,Evet,Yok,,Konut,Kiracı Oturuyor,Satılık,Krediye Uygun,Kat Mülkiyeti,Yok,250 TL,14579332,2
85 M2,130 M2,2+1,Düz Giriş (Zemin),Boş,16-20,Klimalı,1.240.000,adana,4,Kiracı Oturuyor,Genel Fiyat,Yatırıma Uygun,20 Ocak 2024,Hayır,,,Konut,Kiracı Oturuyor,Satılık,Krediye Uygun,,,,14579230,1 
40 M2,50 M2,1+1,6.Kat,Boş,4,Isıtma Yok,1.195.000,adana,6,Boş,Genel Fiyat ,,20 Ocak 2024,Hayır,Yok,,Konut,Boş,Satılık,Bilinmiyor,Kat Mülkiyeti,Yok,,14579091,1
320 M2,530 M2,5+1,,Boş,0 (Yeni),Kombi Doğalgaz,20.000.000,adana,2,Boş,Genel Fiyat,Yatırıma Uygun,20 Ocak 2024,Hayır,,,Konut,Boş,Satılık,KREDIYE UYGUN,Kat Mülkiyeti,,,14579069,4
130 M2,165 M2,3+1,4.Kat,Boş,5-10,Kombi Doğalgaz,2.150.000,adana,6,Boş,Genel Fiyat ,Yatırıma Uygun,20 Ocak 2024,Hayır,,,Konut,Boş,Satılık,Krediye Uygun,Kat Mülkiyeti,Yok,150 TL,14578404,2
115 M2,120 M2,6+2,,,11-15,Sobalı,3.150.000,adana,2,Mülk Sahibi Oturuyor,Genel Fiyat ,Bilinmiyor,20 Ocak 2024,Hayır,Yok,,Konut,Mülk Sahibi Oturuyor,Satılık,Bilinmiyor,,,,14577975,2
90 M2,120 M2,2+1,8.Kat,Eşyalı,5-10,Kombi Doğalgaz,2.020.000,adana,12,Boş,Genel Fiyat ,Bilinmiyor,20 Ocak 2024,Hayır,Var,,Konut,Boş,Satılık,Krediye Uygun,,,,14577941,2
135 M2,155 M2,3+1,6.Kat,Boş,16-20,Kombi Doğalgaz,3.350.000,adana,11,Boş,Genel Fiyat ,Bilinmiyor,20 Ocak 2024,Hayır,Yok,,Konut,Boş,Satılık,Krediye Uygun,,,,14577940,2
100 M2,110 M2,2+1,,Boş,21 Ve Üzeri,Klimalı,1.650.000,adana,2,Kiracı Oturuyor,Genel Fiyat ,Bilinmiyor,19 Ocak 2024,Hayır,Yok,,Konut,Kiracı Oturuyor,Satılık,Krediye Uygun Değil,Arsa Tapulu,,,14577256,2
80 M2,100 M2,2+1,2.Kat,Boş,1,Kombi Doğalgaz,1.480.000,adana,5,Kiracı Oturuyor,Genel Fiyat,Yatırıma Uygun,22 Ocak 2024,Hayır,Yok,,Konut,Kiracı Oturuyor,Satılık,Krediye Uygun,Kat İrtifakı,Yok,,14576996,2
40 M2,60 M2,1+1,Yüksek Giriş,Boş,16-20,Klimalı,978.000,adana,10,Boş,Genel Fiyat ,Bilinmiyor,19 Ocak 2024,Hayır,Var,,Konut,Boş,Satılık,Krediye Uygun,,,,14576820,1
